RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA1616,268.0,2.0,29.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA1617,262.0,2.0,29.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,Never,Rural,0
GHA1618,267.0,1.0,20.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,Never,Urban,0
GHA1619,267.0,1.0,25.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,Never,Urban,0
GHA1620,267.0,1.0,26.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA1621,267.0,1.0,52.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1622,262.0,2.0,23.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA1623,268.0,1.0,57.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA1624,272.0,1.0,25.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,Never,Urban,0
GHA1625,272.0,1.0,36.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1626,268.0,1.0,28.0,3.0,3.0,3.0,4.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Many times,Urban,1
GHA1627,268.0,2.0,54.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,Never,Rural,0
GHA1628,274.0,1.0,30.0,2.0,0.0,0.0,3.0,6.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,Several times,Urban,1
GHA1629,260.0,2.0,50.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1630,260.0,2.0,48.0,0.0,4.0,4.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA1631,274.0,1.0,52.0,4.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Always,Urban,1
GHA1632,272.0,2.0,65.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,Never,Rural,0
GHA1633,272.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA1634,272.0,2.0,23.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA1635,260.0,1.0,20.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
